,이름,팀,번호,생일,포지션,투타유형,키,몸무게,경력,입단 계약금,연봉,지명 순위,입단년도,ID
0,고효준,SSG,15,1983년 02월 08일,투수,좌투좌타,179cm,81kg,서원초-세광중-세광고-롯데-SK-KIA-롯데-LG,11000만원,8500만원,02 롯데 2차 1라운드 6순위,02롯데,72523
1,서진용,SSG,22,1992년 10월 02일,투수,우투우타,184cm,88kg,남부민초-대동중-경남고-상무-SK,,26500만원,11 SK 1라운드 7순위,13상무,61895
2,맥카티,SSG,33,1995년 10월 12일,투수,좌투좌타,173cm,83kg,미국 Oak Grove(고)-미국 Southern Mississippi(대),,600000달러,23 SSG 자유선발,23SSG,53833
3,한두솔,SSG,34,1997년 01월 15일,투수,좌투좌타,177cm,86kg,광주수창초-진흥중-광주제일고-일본 오샤이 리세이샤 전문대학-KT,,3100만원,18 KT 육성선수,18KT,68092
4,노경은,SSG,38,1984년 03월 11일,투수,우투우타,187cm,100kg,화곡초-성남중-성남고-두산-롯데,35000만원,17000만원,03 두산 1차 ,03두산,73211
5,박민호,SSG,41,1992년 02월 25일,투수,우언우타,185cm,95kg,동막초-동인천중-인천고-인하대-SK-상무-SK,10000만원,9500만원,14 SK 2차 3라운드 33순위,14SK,64893
6,문승원,SSG,42,1989년 11월 28일,투수,우투우타,180cm,88kg,가동초-배명중-배명고-고려대-SK-상무-SK,18000만원,70000만원,12 SK 1라운드 8순위,12SK,62869
7,오원석,SSG,47,2001년 04월 23일,투수,좌투좌타,182cm,80kg,수진초-매송중-야탑고-SK,20000만원,14000만원,20 SK 1차,20SK,50859
8,박종훈,SSG,50,1991년 08월 13일,투수,우언우타,186cm,90kg,군산중앙초-군산중-군산상고-SK-상무-SK,10000만원,50000만원,10 SK 2라운드 9순위,10SK,60841
9,백승건,SSG,59,2000년 10월 29일,투수,좌투좌타,183cm,85kg,동막초-상인천중-인천고-SK-상무,10000만원,3000만원,19 SK 1차,19SK,69839
